recipe_tag	coefficient
bias	0.3616732034968639
alfredo	-0.04547311379248323
almond	0.037031412565371805
american	-0.007879478337153863
appetizer	0.009792713169182538
appetizers	-0.004378924504713993
apple	-0.08893622887883063
asiancuisine	0.038016912878438155
asparagus	0.03912887920448921
avocado	0.01901805162701183
bacon	0.14645109094806394
baked	-0.0022080979214436774
bakeddishes	-0.025388390486317757
bakery	-0.03708249709552664
baking	0.06936978794151957
beans	0.019105205537305374
beef	0.024056641465696034
bellpeppers	0.0023090207840485493
berries	0.03597028110302809
blackbeans	0.0023090207840485493
blackvinegar	-5.9640427895704144e-05
blueberry	-0.0012836118290814325
boiledeggs	0.005218108763792065
bokchoy	0.005218108763792065
braided	0.02035943658884303
bread	-0.03748171423032248
breaded	0.04929229437354741
breakfast	0.05557257690420658
breakfastpastry	0.051678985530450715
brioche	-0.08928650421494097
broiling	0.03574700530508871
brownies	0.12278066778148952
brownsugar	-0.002785924178092168
brunch	0.042642839062624366
burger	0.030764044957990243
burritos	0.04084327449696922
buttery	0.06085487571943249
cake	0.056472165654881716
carrots	0.005218108763792065
casserole	0.0005372325452507747
celebration	0.011096435951296661
cheese	0.02022379579961872
cheesy	0.10804645646287725
cherry	-0.021724704200930096
chicken	-0.03785115299235455
chickpeas	0.030764044957990243
chilioil	0.01325024115866964
chilipowder	0.0023090207840485493
chinese	0.026030024391146763
chinesecookingwine	0.013309881586565344
chinesecuisine	0.012930259241084156
chocolate	0.1690996336152905
chocolatechip	0.07127160939603706
chocolatecroissant	0.051678985530450715
christmas	-0.002023966485979918
cilantro	0.018145070630873353
cinnamon	0.03067132801464626
citrus	-0.04267864990965662
classic	0.044087002148704896
cloves	0.00423216708045634
cobbler	-0.007631770416588423
cocoapowder	0.10395661256319552
coffee	-0.0034254444886361673
cold	0.026030024391146763
coldnoodles	0.034856557484963746
comfortfood	0.0117762521542457
condiment	0.03805266793191294
cookies	-0.21203154323615747
corn	0.011096435951296661
cranberry	-0.036458910261533486
creamcheese	-0.007177156576929116
creamy	0.013305991617418286
crisp	-0.07136332802788199
crispy	0.022885153451276515
croissant	-0.0034254444886361673
croissants	0.09555121606426972
crumble	-0.048346861383374976
crust	0.00423216708045634
cucumber	0.034856557484963746
cumin	0.0023090207840485493
cupcakes	-0.02241410193015686
custard	-0.026147993132669453
custardy	-0.007997386183404013
customizable	0.018175359931152133
danish	-0.007177156576929116
dashibroth	0.017454397118684687
dates	0.03844379956257889
decadent	0.07836012725924553
dessert	0.10141392044032829
dinner	-0.06256181601011906
dip	0.011830672295742745
donuts	0.013059769550260525
easterneuropean	0.02035943658884303
easy	0.05100460443951653
easydinner	-0.008255155496755949
egg	0.04151983321281182
eggs	-0.04200207759877909
eggwhites	-0.023394852789629023
fajitaseasoning	-0.0013530707986118104
fall	-0.12481741555674838
familyfriendly	-0.0077179229515051745
fastfood	0.04929229437354741
fetacheese	-0.022206184694906605
filling	-0.03638906989556291
fingerfood	-0.09134667827019578
flaky	-0.016218263907105013
french	0.030332508238639935
frenchcuisine	0.09576690410371134
frenchpastry	0.011171043946287906
fresh	0.05509205290471112
fried	-0.08245988231438081
friedfood	0.03467539414423927
friedrice	-0.05456442982671505
fries	0.0048666122733663315
